4-45 loss=0.0797 dev_acc=0.9800 test_acc=0.9378 eps=158.31
4-46 loss=0.0712 dev_acc=0.9800 test_acc=0.9422 eps=160.70
4-47 loss=0.0774 dev_acc=0.9822 test_acc=0.9289 eps=157.30
4-48 loss=0.0819 dev_acc=0.9800 test_acc=0.9289 eps=161.63
4-49 loss=0.0773 dev_acc=0.9711 test_acc=0.9311 eps=158.43
4-50 loss=0.0649 dev_acc=0.9867 test_acc=0.9356 eps=156.37
4-51 loss=0.0608 dev_acc=0.9844 test_acc=0.9356 eps=163.05
4-52 loss=0.0804 dev_acc=0.9733 test_acc=0.9267 eps=154.79
4-53 loss=0.0558 dev_acc=0.9711 test_acc=0.9311 eps=159.19
4-54 loss=0.0473 dev_acc=0.9889 test_acc=0.9333 eps=155.66
4-55 loss=0.0533 dev_acc=0.9867 test_acc=0.9333 eps=160.83
4-56 loss=0.0521 dev_acc=0.9800 test_acc=0.9222 eps=161.23
4-57 loss=0.0538 dev_acc=0.9733 test_acc=0.9178 eps=155.18
4-58 loss=0.0519 dev_acc=0.9800 test_acc=0.9356 eps=160.12
4-59 loss=0.0483 dev_acc=0.9800 test_acc=0.9333 eps=160.28
4-60 loss=0.0414 dev_acc=0.9733 test_acc=0.9289 eps=159.66
4-61 loss=0.0403 dev_acc=0.9822 test_acc=0.9333 eps=156.71
4-62 loss=0.0411 dev_acc=0.9844 test_acc=0.9356 eps=158.81
4-63 loss=0.0476 dev_acc=0.9889 test_acc=0.9289 eps=156.99
4-64 loss=0.0338 dev_acc=0.9756 test_acc=0.9111 eps=158.28
4-65 loss=0.0350 dev_acc=0.9800 test_acc=0.9333 eps=158.02
4-66 loss=0.0326 dev_acc=0.9822 test_acc=0.9356 eps=157.56
4-67 loss=0.0311 dev_acc=0.9911 test_acc=0.9356 eps=157.66
4-68 loss=0.0269 dev_acc=0.9933 test_acc=0.9422 eps=158.41
4-69 loss=0.0227 dev_acc=0.9933 test_acc=0.9422 eps=156.49
4-70 loss=0.0314 dev_acc=0.9844 test_acc=0.9244 eps=160.36
4-71 loss=0.0281 dev_acc=0.9800 test_acc=0.9133 eps=156.62
5-1 loss=3.1060 dev_acc=0.1289 test_acc=0.1444 eps=157.19
5-2 loss=2.4572 dev_acc=0.3733 test_acc=0.4089 eps=156.41
5-3 loss=1.9602 dev_acc=0.3156 test_acc=0.3667 eps=160.21
5-4 loss=1.5079 dev_acc=0.5711 test_acc=0.5711 eps=158.04
5-5 loss=1.1293 dev_acc=0.6133 test_acc=0.6467 eps=159.11
5-6 loss=0.9289 dev_acc=0.7289 test_acc=0.7222 eps=157.73
5-7 loss=0.6909 dev_acc=0.7600 test_acc=0.7578 eps=156.77
5-8 loss=0.5875 dev_acc=0.8733 test_acc=0.8467 eps=159.71
5-9 loss=0.4688 dev_acc=0.8089 test_acc=0.8089 eps=158.16
5-10 loss=0.3993 dev_acc=0.8267 test_acc=0.8311 eps=157.89
5-11 loss=0.3469 dev_acc=0.8689 test_acc=0.8644 eps=155.85
5-12 loss=0.3183 dev_acc=0.9044 test_acc=0.8867 eps=160.20
5-13 loss=0.2838 dev_acc=0.9022 test_acc=0.8867 eps=155.01
5-14 loss=0.2483 dev_acc=0.9200 test_acc=0.8844 eps=157.46
