2-77 loss=0.0175 dev_acc=0.9822 test_acc=0.9578 eps=220.15
2-78 loss=0.0199 dev_acc=0.9844 test_acc=0.9533 eps=207.57
2-79 loss=0.0160 dev_acc=0.9822 test_acc=0.9533 eps=217.57
2-80 loss=0.0144 dev_acc=0.9778 test_acc=0.9600 eps=218.08
2-81 loss=0.0149 dev_acc=0.9733 test_acc=0.9511 eps=216.40
2-82 loss=0.0142 dev_acc=0.9800 test_acc=0.9600 eps=220.85
2-83 loss=0.0166 dev_acc=0.9844 test_acc=0.9533 eps=218.81
2-84 loss=0.0169 dev_acc=0.9867 test_acc=0.9622 eps=214.39
2-85 loss=0.0127 dev_acc=0.9756 test_acc=0.9489 eps=218.19
2-86 loss=0.0141 dev_acc=0.9778 test_acc=0.9667 eps=216.82
2-87 loss=0.0168 dev_acc=0.9800 test_acc=0.9600 eps=216.21
2-88 loss=0.0176 dev_acc=0.9756 test_acc=0.9578 eps=214.89
2-89 loss=0.0082 dev_acc=0.9778 test_acc=0.9644 eps=219.83
2-90 loss=0.0071 dev_acc=0.9778 test_acc=0.9578 eps=209.64
2-91 loss=0.0098 dev_acc=0.9711 test_acc=0.9556 eps=221.17
2-92 loss=0.0085 dev_acc=0.9778 test_acc=0.9511 eps=214.33
2-93 loss=0.0045 dev_acc=0.9733 test_acc=0.9622 eps=214.07
2-94 loss=0.0066 dev_acc=0.9800 test_acc=0.9600 eps=218.22
2-95 loss=0.0143 dev_acc=0.9844 test_acc=0.9556 eps=217.68
2-96 loss=0.0173 dev_acc=0.9778 test_acc=0.9533 eps=217.67
2-97 loss=0.0086 dev_acc=0.9844 test_acc=0.9644 eps=225.31
2-98 loss=0.0066 dev_acc=0.9778 test_acc=0.9622 eps=211.57
2-99 loss=0.0038 dev_acc=0.9800 test_acc=0.9600 eps=221.23
2-100 loss=0.0075 dev_acc=0.9822 test_acc=0.9644 eps=216.65
2-101 loss=0.0088 dev_acc=0.9844 test_acc=0.9511 eps=216.83
2-102 loss=0.0085 dev_acc=0.9756 test_acc=0.9644 eps=212.74
2-103 loss=0.0049 dev_acc=0.9778 test_acc=0.9556 eps=216.58
2-104 loss=0.0080 dev_acc=0.9889 test_acc=0.9644 eps=217.58
2-105 loss=0.0066 dev_acc=0.9844 test_acc=0.9556 eps=219.64
2-106 loss=0.0037 dev_acc=0.9867 test_acc=0.9578 eps=212.90
2-107 loss=0.0062 dev_acc=0.9844 test_acc=0.9578 eps=217.30
2-108 loss=0.0034 dev_acc=0.9889 test_acc=0.9556 eps=218.73
2-109 loss=0.0052 dev_acc=0.9756 test_acc=0.9578 eps=216.97
2-110 loss=0.0065 dev_acc=0.9867 test_acc=0.9556 eps=214.20
2-111 loss=0.0035 dev_acc=0.9867 test_acc=0.9622 eps=214.46
3-1 loss=3.2214 dev_acc=0.1378 test_acc=0.1222 eps=221.19
3-2 loss=2.7596 dev_acc=0.2000 test_acc=0.1622 eps=218.12
3-3 loss=2.5509 dev_acc=0.2978 test_acc=0.2800 eps=217.09
3-4 loss=2.2925 dev_acc=0.3578 test_acc=0.3244 eps=212.96
3-5 loss=1.9221 dev_acc=0.2511 test_acc=0.2156 eps=220.50
3-6 loss=1.5643 dev_acc=0.4333 test_acc=0.3822 eps=220.12
3-7 loss=1.2265 dev_acc=0.6778 test_acc=0.6378 eps=209.47
3-8 loss=0.9893 dev_acc=0.7711 test_acc=0.6844 eps=214.72
3-9 loss=0.7500 dev_acc=0.8311 test_acc=0.7778 eps=223.01
3-10 loss=0.5923 dev_acc=0.8000 test_acc=0.7622 eps=222.47
3-11 loss=0.5072 dev_acc=0.8889 test_acc=0.8533 eps=216.09
3-12 loss=0.4232 dev_acc=0.8556 test_acc=0.8156 eps=217.96
3-13 loss=0.3878 dev_acc=0.8556 test_acc=0.8356 eps=220.35
3-14 loss=0.3334 dev_acc=0.8778 test_acc=0.8311 eps=218.27
3-15 loss=0.3052 dev_acc=0.9044 test_acc=0.8489 eps=214.96
3-16 loss=0.2933 dev_acc=0.8600 test_acc=0.8000 eps=213.52
3-17 loss=0.2461 dev_acc=0.8933 test_acc=0.8600 eps=221.92
3-18 loss=0.2447 dev_acc=0.8444 test_acc=0.8222 eps=215.04
3-19 loss=0.2378 dev_acc=0.9289 test_acc=0.8822 eps=226.76
3-20 loss=0.2013 dev_acc=0.9133 test_acc=0.8667 eps=213.34
3-21 loss=0.1986 dev_acc=0.9467 test_acc=0.8867 eps=221.60
3-22 loss=0.1895 dev_acc=0.9444 test_acc=0.9022 eps=213.16
3-23 loss=0.1627 dev_acc=0.8600 test_acc=0.8422 eps=215.43
3-24 loss=0.1677 dev_acc=0.9578 test_acc=0.8911 eps=211.94
3-25 loss=0.1480 dev_acc=0.9511 test_acc=0.8867 eps=215.88
3-26 loss=0.1729 dev_acc=0.9311 test_acc=0.8711 eps=219.64
3-27 loss=0.1516 dev_acc=0.9467 test_acc=0.8911 eps=217.62
3-28 loss=0.1242 dev_acc=0.9689 test_acc=0.9133 eps=217.34
3-29 loss=0.1392 dev_acc=0.9489 test_acc=0.8867 eps=213.74
3-30 loss=0.1335 dev_acc=0.9667 test_acc=0.9133 eps=220.68
3-31 loss=0.1116 dev_acc=0.9622 test_acc=0.8978 eps=218.56
3-32 loss=0.1241 dev_acc=0.9667 test_acc=0.9156 eps=217.12
3-33 loss=0.1175 dev_acc=0.9600 test_acc=0.8933 eps=217.60
3-34 loss=0.1077 dev_acc=0.9756 test_acc=0.9178 eps=222.24
3-35 loss=0.0929 dev_acc=0.9622 test_acc=0.9156 eps=214.26
3-36 loss=0.0952 dev_acc=0.9711 test_acc=0.9178 eps=219.70
3-37 loss=0.0923 dev_acc=0.9644 test_acc=0.9222 eps=220.81
3-38 loss=0.0939 dev_acc=0.9511 test_acc=0.9111 eps=213.61
3-39 loss=0.0913 dev_acc=0.9600 test_acc=0.8978 eps=224.04
3-40 loss=0.0930 dev_acc=0.9689 test_acc=0.9133 eps=210.81
3-41 loss=0.0852 dev_acc=0.9556 test_acc=0.8978 eps=216.21
3-42 loss=0.0844 dev_acc=0.9600 test_acc=0.9178 eps=215.54
3-43 loss=0.0885 dev_acc=0.9533 test_acc=0.8844 eps=219.60
3-44 loss=0.0723 dev_acc=0.9733 test_acc=0.9267 eps=219.31
3-45 loss=0.0734 dev_acc=0.9711 test_acc=0.9200 eps=220.04
3-46 loss=0.0672 dev_acc=0.9711 test_acc=0.9200 eps=218.04
3-47 loss=0.0898 dev_acc=0.9689 test_acc=0.9089 eps=216.86
3-48 loss=0.0643 dev_acc=0.9711 test_acc=0.9222 eps=222.99
3-49 loss=0.0550 dev_acc=0.9733 test_acc=0.9133 eps=211.58
3-50 loss=0.0560 dev_acc=0.9756 test_acc=0.9222 eps=217.29
3-51 loss=0.0617 dev_acc=0.9711 test_acc=0.9178 eps=214.38
3-52 loss=0.0532 dev_acc=0.9733 test_acc=0.9111 eps=218.75
3-53 loss=0.0517 dev_acc=0.9711 test_acc=0.9156 eps=216.36
3-54 loss=0.0508 dev_acc=0.9756 test_acc=0.9133 eps=217.15
3-55 loss=0.0399 dev_acc=0.9667 test_acc=0.9156 eps=210.14
3-56 loss=0.0584 dev_acc=0.9689 test_acc=0.9156 eps=217.01
3-57 loss=0.0476 dev_acc=0.9778 test_acc=0.9178 eps=219.95
3-58 loss=0.0479 dev_acc=0.9689 test_acc=0.9067 eps=219.14
3-59 loss=0.0464 dev_acc=0.9800 test_acc=0.9089 eps=215.69
3-60 loss=0.0453 dev_acc=0.9800 test_acc=0.9178 eps=219.67
3-61 loss=0.0366 dev_acc=0.9689 test_acc=0.9200 eps=214.92
3-62 loss=0.0321 dev_acc=0.9711 test_acc=0.9133 eps=214.57
3-63 loss=0.0398 dev_acc=0.9822 test_acc=0.9244 eps=214.71
3-64 loss=0.0318 dev_acc=0.9756 test_acc=0.9133 eps=212.08
3-65 loss=0.0539 dev_acc=0.9711 test_acc=0.9178 eps=217.46
3-66 loss=0.0265 dev_acc=0.9867 test_acc=0.9267 eps=214.05
3-67 loss=0.0322 dev_acc=0.9867 test_acc=0.9222 eps=215.96
3-68 loss=0.0274 dev_acc=0.9844 test_acc=0.9133 eps=215.32
3-69 loss=0.0275 dev_acc=0.9822 test_acc=0.9267 eps=210.73
4-1 loss=3.1685 dev_acc=0.1333 test_acc=0.1000 eps=210.19
4-2 loss=2.7661 dev_acc=0.0578 test_acc=0.0422 eps=212.46
4-3 loss=2.5250 dev_acc=0.1156 test_acc=0.1244 eps=216.12
4-4 loss=2.1913 dev_acc=0.2422 test_acc=0.3089 eps=213.51
4-5 loss=1.8275 dev_acc=0.5022 test_acc=0.4778 eps=219.49
4-6 loss=1.4177 dev_acc=0.5533 test_acc=0.5489 eps=211.79
4-7 loss=1.0989 dev_acc=0.6911 test_acc=0.6867 eps=214.21
4-8 loss=0.8099 dev_acc=0.6156 test_acc=0.6156 eps=219.12
4-9 loss=0.6847 dev_acc=0.8422 test_acc=0.8022 eps=216.00
4-10 loss=0.5613 dev_acc=0.8267 test_acc=0.8089 eps=222.88
4-11 loss=0.4760 dev_acc=0.8667 test_acc=0.7933 eps=215.01
4-12 loss=0.4054 dev_acc=0.8267 test_acc=0.8267 eps=211.66
4-13 loss=0.3513 dev_acc=0.8378 test_acc=0.7911 eps=214.67
4-14 loss=0.3385 dev_acc=0.8867 test_acc=0.8200 eps=218.07
4-15 loss=0.2957 dev_acc=0.9222 test_acc=0.8822 eps=214.90
4-16 loss=0.2846 dev_acc=0.9289 test_acc=0.8622 eps=214.88
4-17 loss=0.2450 dev_acc=0.9156 test_acc=0.8578 eps=215.74
4-18 loss=0.2318 dev_acc=0.9022 test_acc=0.8467 eps=212.60
4-19 loss=0.2378 dev_acc=0.9178 test_acc=0.8578 eps=214.36
4-20 loss=0.1818 dev_acc=0.9511 test_acc=0.9067 eps=212.29
4-21 loss=0.1797 dev_acc=0.9400 test_acc=0.8733 eps=217.23
4-22 loss=0.1736 dev_acc=0.9578 test_acc=0.9022 eps=212.14
4-23 loss=0.1633 dev_acc=0.9467 test_acc=0.8844 eps=218.46
4-24 loss=0.1371 dev_acc=0.9289 test_acc=0.8622 eps=215.20
4-25 loss=0.1500 dev_acc=0.9378 test_acc=0.8933 eps=217.08
4-26 loss=0.1434 dev_acc=0.9622 test_acc=0.8956 eps=211.36
4-27 loss=0.1222 dev_acc=0.9622 test_acc=0.9044 eps=215.97
4-28 loss=0.1102 dev_acc=0.9489 test_acc=0.8867 eps=217.52
4-29 loss=0.1325 dev_acc=0.9489 test_acc=0.9022 eps=207.12
4-30 loss=0.1053 dev_acc=0.9378 test_acc=0.8556 eps=220.33
4-31 loss=0.1195 dev_acc=0.9489 test_acc=0.8844 eps=213.72
4-32 loss=0.1144 dev_acc=0.9600 test_acc=0.9000 eps=216.50
4-33 loss=0.1021 dev_acc=0.9667 test_acc=0.9089 eps=221.09
4-34 loss=0.0929 dev_acc=0.9533 test_acc=0.9044 eps=208.12
4-35 loss=0.0984 dev_acc=0.9667 test_acc=0.8978 eps=216.98
4-36 loss=0.1067 dev_acc=0.9622 test_acc=0.9111 eps=211.60
4-37 loss=0.0668 dev_acc=0.9600 test_acc=0.9067 eps=216.63
4-38 loss=0.0757 dev_acc=0.9489 test_acc=0.9067 eps=217.45
4-39 loss=0.0863 dev_acc=0.9511 test_acc=0.8889 eps=216.66
4-40 loss=0.0823 dev_acc=0.9667 test_acc=0.9022 eps=211.20
4-41 loss=0.0745 dev_acc=0.9644 test_acc=0.8978 eps=213.83
4-42 loss=0.0753 dev_acc=0.9578 test_acc=0.9000 eps=218.31
4-43 loss=0.0660 dev_acc=0.9689 test_acc=0.9111 eps=212.67
4-44 loss=0.0566 dev_acc=0.9756 test_acc=0.9156 eps=220.60
4-45 loss=0.0539 dev_acc=0.9711 test_acc=0.9067 eps=212.87
4-46 loss=0.0647 dev_acc=0.9756 test_acc=0.9178 eps=210.45
4-47 loss=0.0639 dev_acc=0.9689 test_acc=0.9089 eps=212.00
