1-87 loss=0.0213 dev_acc=0.9556 test_acc=0.9422 eps=134.10
1-88 loss=0.0142 dev_acc=0.9711 test_acc=0.9511 eps=133.74
1-89 loss=0.0199 dev_acc=0.9733 test_acc=0.9356 eps=133.31
1-90 loss=0.0170 dev_acc=0.9667 test_acc=0.9356 eps=134.31
1-91 loss=0.0198 dev_acc=0.9689 test_acc=0.9444 eps=133.06
1-92 loss=0.0120 dev_acc=0.9733 test_acc=0.9400 eps=134.84
1-93 loss=0.0113 dev_acc=0.9711 test_acc=0.9356 eps=135.05
1-94 loss=0.0286 dev_acc=0.9711 test_acc=0.9356 eps=134.16
1-95 loss=0.0163 dev_acc=0.9689 test_acc=0.9378 eps=133.24
1-96 loss=0.0124 dev_acc=0.9867 test_acc=0.9400 eps=133.16
1-97 loss=0.0073 dev_acc=0.9644 test_acc=0.9356 eps=135.56
1-98 loss=0.0145 dev_acc=0.9689 test_acc=0.9400 eps=132.10
1-99 loss=0.0126 dev_acc=0.9733 test_acc=0.9422 eps=130.58
1-100 loss=0.0149 dev_acc=0.9667 test_acc=0.9422 eps=133.69
1-101 loss=0.0086 dev_acc=0.9733 test_acc=0.9400 eps=132.59
1-102 loss=0.0189 dev_acc=0.9622 test_acc=0.9378 eps=133.79
1-103 loss=0.0099 dev_acc=0.9644 test_acc=0.9311 eps=133.12
1-104 loss=0.0086 dev_acc=0.9756 test_acc=0.9267 eps=133.56
1-105 loss=0.0111 dev_acc=0.9711 test_acc=0.9178 eps=131.96
1-106 loss=0.0170 dev_acc=0.9689 test_acc=0.9267 eps=132.08
1-107 loss=0.0073 dev_acc=0.9844 test_acc=0.9200 eps=135.09
1-108 loss=0.0065 dev_acc=0.9689 test_acc=0.9311 eps=130.37
1-109 loss=0.0053 dev_acc=0.9889 test_acc=0.9333 eps=135.42
1-110 loss=0.0092 dev_acc=0.9556 test_acc=0.9333 eps=135.14
1-111 loss=0.0146 dev_acc=0.9622 test_acc=0.9311 eps=133.64
1-112 loss=0.0146 dev_acc=0.9844 test_acc=0.9289 eps=135.18
1-113 loss=0.0075 dev_acc=0.9533 test_acc=0.9333 eps=135.65
2-1 loss=3.2443 dev_acc=0.1511 test_acc=0.1267 eps=134.21
2-2 loss=2.7438 dev_acc=0.2200 test_acc=0.1756 eps=135.06
2-3 loss=2.5899 dev_acc=0.2156 test_acc=0.1889 eps=136.00
2-4 loss=2.4370 dev_acc=0.1844 test_acc=0.1511 eps=131.97
2-5 loss=2.3394 dev_acc=0.2467 test_acc=0.2000 eps=134.17
2-6 loss=2.0949 dev_acc=0.4133 test_acc=0.3422 eps=134.76
2-7 loss=1.8268 dev_acc=0.5511 test_acc=0.4667 eps=130.92
2-8 loss=1.4982 dev_acc=0.5022 test_acc=0.4333 eps=135.02
2-9 loss=1.1944 dev_acc=0.7000 test_acc=0.6400 eps=134.90
2-10 loss=0.9329 dev_acc=0.7244 test_acc=0.7067 eps=135.08
2-11 loss=0.7176 dev_acc=0.8044 test_acc=0.7489 eps=133.30
