2-135 loss=0.0067 dev_acc=0.9911 test_acc=0.7044 eps=124.54
2-136 loss=0.0026 dev_acc=1.0000 test_acc=0.7333 eps=124.28
3-1 loss=3.3910 dev_acc=0.1444 test_acc=0.1178 eps=125.85
3-2 loss=2.9931 dev_acc=0.1844 test_acc=0.2067 eps=125.07
3-3 loss=2.8234 dev_acc=0.1400 test_acc=0.1333 eps=120.00
3-4 loss=2.7790 dev_acc=0.2000 test_acc=0.1267 eps=115.90
3-5 loss=2.6949 dev_acc=0.1844 test_acc=0.1511 eps=116.39
3-6 loss=2.6230 dev_acc=0.2289 test_acc=0.1822 eps=116.18
3-7 loss=2.5713 dev_acc=0.2844 test_acc=0.2333 eps=116.24
3-8 loss=2.5233 dev_acc=0.1244 test_acc=0.0844 eps=119.77
3-9 loss=2.5030 dev_acc=0.2444 test_acc=0.2133 eps=125.58
3-10 loss=2.4147 dev_acc=0.2689 test_acc=0.2000 eps=125.78
3-11 loss=2.3926 dev_acc=0.2800 test_acc=0.2289 eps=126.18
3-12 loss=2.3236 dev_acc=0.3333 test_acc=0.2756 eps=118.76
3-13 loss=2.1810 dev_acc=0.3489 test_acc=0.3133 eps=118.39
3-14 loss=2.0858 dev_acc=0.3200 test_acc=0.2444 eps=117.97
3-15 loss=2.0281 dev_acc=0.3578 test_acc=0.2933 eps=118.32
3-16 loss=1.9464 dev_acc=0.2533 test_acc=0.2200 eps=118.90
3-17 loss=1.8220 dev_acc=0.4267 test_acc=0.3667 eps=117.12
3-18 loss=1.7932 dev_acc=0.4533 test_acc=0.3622 eps=117.34
3-19 loss=1.7203 dev_acc=0.3556 test_acc=0.2956 eps=116.82
3-20 loss=1.6437 dev_acc=0.4978 test_acc=0.4533 eps=118.36
3-21 loss=1.5737 dev_acc=0.5289 test_acc=0.4556 eps=116.63
3-22 loss=1.5414 dev_acc=0.4733 test_acc=0.4089 eps=117.72
3-23 loss=1.4452 dev_acc=0.3533 test_acc=0.2733 eps=117.95
3-24 loss=1.3860 dev_acc=0.6378 test_acc=0.5133 eps=120.00
3-25 loss=1.3106 dev_acc=0.4911 test_acc=0.4200 eps=121.77
