0-152 loss=0.0014 dev_acc=0.9978 test_acc=0.7089 eps=171.01
0-153 loss=0.0015 dev_acc=1.0000 test_acc=0.6933 eps=169.59
0-154 loss=0.0010 dev_acc=0.9978 test_acc=0.7133 eps=170.43
0-155 loss=0.0007 dev_acc=1.0000 test_acc=0.7156 eps=172.17
0-156 loss=0.0006 dev_acc=1.0000 test_acc=0.7356 eps=177.58
0-157 loss=0.0013 dev_acc=0.9956 test_acc=0.7067 eps=145.87
0-158 loss=0.0032 dev_acc=0.9978 test_acc=0.6756 eps=161.02
0-159 loss=0.0031 dev_acc=0.9956 test_acc=0.7067 eps=155.95
0-160 loss=0.0015 dev_acc=1.0000 test_acc=0.7200 eps=164.98
0-161 loss=0.0006 dev_acc=1.0000 test_acc=0.7222 eps=170.25
0-162 loss=0.0006 dev_acc=1.0000 test_acc=0.7133 eps=179.22
0-163 loss=0.0027 dev_acc=1.0000 test_acc=0.7022 eps=176.20
0-164 loss=0.0007 dev_acc=1.0000 test_acc=0.7267 eps=175.23
0-165 loss=0.0007 dev_acc=1.0000 test_acc=0.7267 eps=176.24
0-166 loss=0.0006 dev_acc=1.0000 test_acc=0.7200 eps=181.04
0-167 loss=0.0004 dev_acc=1.0000 test_acc=0.7289 eps=181.18
0-168 loss=0.0004 dev_acc=1.0000 test_acc=0.7289 eps=185.94
0-169 loss=0.0006 dev_acc=1.0000 test_acc=0.7178 eps=184.98
0-170 loss=0.0005 dev_acc=0.9956 test_acc=0.7022 eps=181.67
0-171 loss=0.0028 dev_acc=0.9978 test_acc=0.6911 eps=180.34
0-172 loss=0.0032 dev_acc=1.0000 test_acc=0.7200 eps=181.51
0-173 loss=0.0011 dev_acc=1.0000 test_acc=0.7244 eps=187.17
0-174 loss=0.0006 dev_acc=1.0000 test_acc=0.7289 eps=187.29
0-175 loss=0.0005 dev_acc=1.0000 test_acc=0.7311 eps=189.95
0-176 loss=0.0005 dev_acc=1.0000 test_acc=0.7311 eps=202.53
0-177 loss=0.0004 dev_acc=1.0000 test_acc=0.7244 eps=199.88
0-178 loss=0.0007 dev_acc=0.9978 test_acc=0.7044 eps=202.65
0-179 loss=0.0005 dev_acc=1.0000 test_acc=0.7178 eps=193.20
0-180 loss=0.0047 dev_acc=1.0000 test_acc=0.7156 eps=195.54
0-181 loss=0.0027 dev_acc=1.0000 test_acc=0.7222 eps=206.24
1-1 loss=3.3138 dev_acc=0.1378 test_acc=0.1356 eps=204.46
1-2 loss=2.9768 dev_acc=0.1822 test_acc=0.1533 eps=206.68
1-3 loss=2.8511 dev_acc=0.1733 test_acc=0.1356 eps=193.79
1-4 loss=2.7555 dev_acc=0.2022 test_acc=0.1778 eps=186.54
1-5 loss=2.7123 dev_acc=0.2022 test_acc=0.1622 eps=192.15
1-6 loss=2.6676 dev_acc=0.1778 test_acc=0.1711 eps=186.92
1-7 loss=2.5872 dev_acc=0.1422 test_acc=0.1511 eps=196.91
1-8 loss=2.5430 dev_acc=0.2467 test_acc=0.2244 eps=184.52
1-9 loss=2.4616 dev_acc=0.2200 test_acc=0.1511 eps=180.44
1-10 loss=2.4232 dev_acc=0.2711 test_acc=0.2044 eps=182.57
1-11 loss=2.3166 dev_acc=0.2800 test_acc=0.2378 eps=179.66
1-12 loss=2.2381 dev_acc=0.2800 test_acc=0.2333 eps=180.50
1-13 loss=2.1153 dev_acc=0.3133 test_acc=0.2422 eps=179.16
1-14 loss=2.0022 dev_acc=0.3289 test_acc=0.2644 eps=180.43
1-15 loss=1.9468 dev_acc=0.3444 test_acc=0.3067 eps=178.46
1-16 loss=1.8737 dev_acc=0.3689 test_acc=0.3489 eps=177.30
1-17 loss=1.7960 dev_acc=0.2444 test_acc=0.2311 eps=176.12
1-18 loss=1.7519 dev_acc=0.4267 test_acc=0.3889 eps=174.81
1-19 loss=1.6732 dev_acc=0.3022 test_acc=0.2444 eps=166.11
1-20 loss=1.6034 dev_acc=0.2733 test_acc=0.2089 eps=166.73
1-21 loss=1.5495 dev_acc=0.5422 test_acc=0.4422 eps=173.20
