1-66 loss=0.1710 dev_acc=0.8533 test_acc=0.6844 eps=201.91
1-67 loss=0.1467 dev_acc=0.8822 test_acc=0.6822 eps=199.30
1-68 loss=0.1406 dev_acc=0.8467 test_acc=0.6933 eps=200.88
1-69 loss=0.1378 dev_acc=0.8089 test_acc=0.6556 eps=201.59
1-70 loss=0.1502 dev_acc=0.8400 test_acc=0.6822 eps=200.31
1-71 loss=0.1285 dev_acc=0.8756 test_acc=0.7022 eps=202.07
1-72 loss=0.1204 dev_acc=0.8600 test_acc=0.6800 eps=200.19
1-73 loss=0.1263 dev_acc=0.8689 test_acc=0.6933 eps=199.78
1-74 loss=0.1206 dev_acc=0.8644 test_acc=0.6956 eps=201.81
1-75 loss=0.1042 dev_acc=0.8600 test_acc=0.6844 eps=201.66
1-76 loss=0.1003 dev_acc=0.8467 test_acc=0.6911 eps=204.16
1-77 loss=0.0987 dev_acc=0.8733 test_acc=0.6800 eps=203.86
1-78 loss=0.1020 dev_acc=0.8511 test_acc=0.6667 eps=201.53
1-79 loss=0.1002 dev_acc=0.8733 test_acc=0.7156 eps=205.92
1-80 loss=0.0978 dev_acc=0.8889 test_acc=0.7089 eps=203.13
1-81 loss=0.0735 dev_acc=0.8244 test_acc=0.6822 eps=203.25
1-82 loss=0.0905 dev_acc=0.8822 test_acc=0.7067 eps=205.49
1-83 loss=0.0803 dev_acc=0.9044 test_acc=0.7156 eps=201.16
1-84 loss=0.0682 dev_acc=0.8644 test_acc=0.6644 eps=202.17
1-85 loss=0.0758 dev_acc=0.8911 test_acc=0.6822 eps=204.09
1-86 loss=0.0724 dev_acc=0.8756 test_acc=0.6689 eps=199.59
1-87 loss=0.0653 dev_acc=0.8956 test_acc=0.6911 eps=202.75
1-88 loss=0.0603 dev_acc=0.8756 test_acc=0.6756 eps=201.85
1-89 loss=0.0564 dev_acc=0.8889 test_acc=0.6733 eps=201.47
1-90 loss=0.0595 dev_acc=0.9000 test_acc=0.6911 eps=201.69
1-91 loss=0.0498 dev_acc=0.8622 test_acc=0.6800 eps=199.81
1-92 loss=0.0472 dev_acc=0.8622 test_acc=0.6822 eps=200.86
1-93 loss=0.0429 dev_acc=0.8689 test_acc=0.6978 eps=201.94
1-94 loss=0.0563 dev_acc=0.9067 test_acc=0.6911 eps=199.71
1-95 loss=0.0570 dev_acc=0.8933 test_acc=0.7089 eps=201.67
1-96 loss=0.0548 dev_acc=0.9022 test_acc=0.7422 eps=200.74
1-97 loss=0.0333 dev_acc=0.9067 test_acc=0.7267 eps=199.82
1-98 loss=0.0330 dev_acc=0.8489 test_acc=0.6822 eps=202.50
1-99 loss=0.0269 dev_acc=0.9111 test_acc=0.7178 eps=199.26
1-100 loss=0.0247 dev_acc=0.9178 test_acc=0.7133 eps=201.15
1-101 loss=0.0297 dev_acc=0.9111 test_acc=0.7111 eps=201.33
1-102 loss=0.0469 dev_acc=0.9000 test_acc=0.6822 eps=199.86
1-103 loss=0.0351 dev_acc=0.8778 test_acc=0.6978 eps=203.16
1-104 loss=0.0298 dev_acc=0.8556 test_acc=0.6778 eps=201.09
1-105 loss=0.0329 dev_acc=0.8889 test_acc=0.6911 eps=200.90
1-106 loss=0.0285 dev_acc=0.9133 test_acc=0.7422 eps=203.88
1-107 loss=0.0256 dev_acc=0.9067 test_acc=0.7222 eps=202.04
1-108 loss=0.0283 dev_acc=0.9000 test_acc=0.7022 eps=201.65
1-109 loss=0.0249 dev_acc=0.9267 test_acc=0.7133 eps=202.18
1-110 loss=0.0281 dev_acc=0.9289 test_acc=0.7289 eps=200.02
1-111 loss=0.0219 dev_acc=0.9089 test_acc=0.7067 eps=194.42
1-112 loss=0.0163 dev_acc=0.8689 test_acc=0.7022 eps=174.45
1-113 loss=0.0171 dev_acc=0.8756 test_acc=0.6956 eps=173.34
