1-54 loss=0.0473 dev_acc=0.9889 test_acc=0.9156 eps=209.30
1-55 loss=0.0485 dev_acc=0.9822 test_acc=0.9000 eps=205.74
1-56 loss=0.0389 dev_acc=0.9822 test_acc=0.9000 eps=213.19
1-57 loss=0.0336 dev_acc=0.9911 test_acc=0.8911 eps=202.48
1-58 loss=0.0295 dev_acc=0.9867 test_acc=0.8867 eps=210.09
1-59 loss=0.0335 dev_acc=0.9933 test_acc=0.8978 eps=212.84
1-60 loss=0.0266 dev_acc=0.9889 test_acc=0.8933 eps=207.83
1-61 loss=0.0326 dev_acc=0.9889 test_acc=0.8867 eps=203.38
1-62 loss=0.0285 dev_acc=0.9867 test_acc=0.9133 eps=211.63
1-63 loss=0.0404 dev_acc=0.9889 test_acc=0.8956 eps=200.30
1-64 loss=0.0241 dev_acc=0.9889 test_acc=0.9022 eps=207.39
1-65 loss=0.0169 dev_acc=0.9956 test_acc=0.8867 eps=206.28
1-66 loss=0.0336 dev_acc=0.9889 test_acc=0.9067 eps=211.27
1-67 loss=0.0358 dev_acc=0.9933 test_acc=0.9022 eps=208.88
1-68 loss=0.0220 dev_acc=1.0000 test_acc=0.9000 eps=200.95
1-69 loss=0.0166 dev_acc=0.9956 test_acc=0.9089 eps=207.89
1-70 loss=0.0231 dev_acc=0.9933 test_acc=0.9044 eps=208.45
1-71 loss=0.0248 dev_acc=0.9867 test_acc=0.9044 eps=214.38
1-72 loss=0.0135 dev_acc=0.9978 test_acc=0.8978 eps=204.50
1-73 loss=0.0118 dev_acc=0.9911 test_acc=0.9000 eps=205.29
1-74 loss=0.0118 dev_acc=0.9933 test_acc=0.8867 eps=206.10
1-75 loss=0.0204 dev_acc=0.9978 test_acc=0.9089 eps=206.07
1-76 loss=0.0185 dev_acc=1.0000 test_acc=0.9089 eps=205.65
1-77 loss=0.0082 dev_acc=0.9978 test_acc=0.9067 eps=204.15
1-78 loss=0.0110 dev_acc=0.9978 test_acc=0.9111 eps=212.59
1-79 loss=0.0139 dev_acc=0.9911 test_acc=0.8800 eps=202.92
