1-1 loss=3.2199 dev_acc=0.1644 test_acc=0.1578 eps=185.15
1-2 loss=2.7769 dev_acc=0.1778 test_acc=0.1911 eps=185.88
1-3 loss=2.6158 dev_acc=0.2422 test_acc=0.1689 eps=185.69
1-4 loss=2.4423 dev_acc=0.2733 test_acc=0.2556 eps=183.53
1-5 loss=2.3107 dev_acc=0.2911 test_acc=0.2756 eps=182.88
1-6 loss=2.2111 dev_acc=0.3400 test_acc=0.3311 eps=184.87
1-7 loss=2.1145 dev_acc=0.3578 test_acc=0.3022 eps=182.37
1-8 loss=1.9812 dev_acc=0.3689 test_acc=0.3022 eps=184.19
1-9 loss=1.9069 dev_acc=0.4600 test_acc=0.3822 eps=182.25
1-10 loss=1.7925 dev_acc=0.4644 test_acc=0.3489 eps=181.12
1-11 loss=1.7120 dev_acc=0.4889 test_acc=0.4267 eps=184.70
1-12 loss=1.6185 dev_acc=0.4867 test_acc=0.4378 eps=183.61
1-13 loss=1.5459 dev_acc=0.5600 test_acc=0.5111 eps=182.34
1-14 loss=1.4657 dev_acc=0.2911 test_acc=0.2533 eps=182.91
1-15 loss=1.3649 dev_acc=0.4889 test_acc=0.4667 eps=184.03
1-16 loss=1.2790 dev_acc=0.3978 test_acc=0.3156 eps=185.31
1-17 loss=1.1927 dev_acc=0.5000 test_acc=0.4378 eps=185.23
1-18 loss=1.1774 dev_acc=0.4644 test_acc=0.3978 eps=183.65
1-19 loss=1.0735 dev_acc=0.5600 test_acc=0.5333 eps=185.78
1-20 loss=0.9953 dev_acc=0.5911 test_acc=0.4889 eps=182.14
1-21 loss=0.9126 dev_acc=0.6756 test_acc=0.6133 eps=184.06
1-22 loss=0.8976 dev_acc=0.7200 test_acc=0.6711 eps=190.14
1-23 loss=0.8015 dev_acc=0.7511 test_acc=0.6889 eps=189.94
1-24 loss=0.7601 dev_acc=0.6222 test_acc=0.5444 eps=191.91
1-25 loss=0.7230 dev_acc=0.7733 test_acc=0.6622 eps=194.09
1-26 loss=0.6894 dev_acc=0.7444 test_acc=0.6933 eps=191.40
1-27 loss=0.6246 dev_acc=0.7244 test_acc=0.6556 eps=195.18
1-28 loss=0.6090 dev_acc=0.7044 test_acc=0.6200 eps=193.48
1-29 loss=0.5830 dev_acc=0.7556 test_acc=0.6489 eps=192.47
1-30 loss=0.5483 dev_acc=0.7978 test_acc=0.6978 eps=192.98
1-31 loss=0.5291 dev_acc=0.8000 test_acc=0.7089 eps=191.57
1-32 loss=0.5112 dev_acc=0.7844 test_acc=0.7200 eps=193.16
1-33 loss=0.4758 dev_acc=0.7644 test_acc=0.7022 eps=193.29
1-34 loss=0.4312 dev_acc=0.7867 test_acc=0.6978 eps=190.18
1-35 loss=0.4173 dev_acc=0.7578 test_acc=0.6511 eps=195.27
1-36 loss=0.4237 dev_acc=0.7578 test_acc=0.7222 eps=193.47
1-37 loss=0.3907 dev_acc=0.8356 test_acc=0.7622 eps=191.65
1-38 loss=0.3583 dev_acc=0.8578 test_acc=0.7667 eps=194.68
1-39 loss=0.3745 dev_acc=0.8311 test_acc=0.7489 eps=190.86
1-40 loss=0.3479 dev_acc=0.8733 test_acc=0.7711 eps=193.39
1-41 loss=0.3098 dev_acc=0.8756 test_acc=0.7956 eps=193.17
1-42 loss=0.3298 dev_acc=0.8711 test_acc=0.7600 eps=189.49
1-43 loss=0.3020 dev_acc=0.7933 test_acc=0.7267 eps=191.42
1-44 loss=0.2990 dev_acc=0.8844 test_acc=0.7844 eps=191.75
1-45 loss=0.2553 dev_acc=0.8511 test_acc=0.7844 eps=189.89
1-46 loss=0.2459 dev_acc=0.9089 test_acc=0.7933 eps=193.33
1-47 loss=0.2700 dev_acc=0.8422 test_acc=0.7489 eps=189.37
1-48 loss=0.2356 dev_acc=0.8667 test_acc=0.7844 eps=191.35
1-49 loss=0.2360 dev_acc=0.8422 test_acc=0.7489 eps=191.14
1-50 loss=0.2206 dev_acc=0.8911 test_acc=0.8089 eps=190.72
1-51 loss=0.2198 dev_acc=0.7978 test_acc=0.7244 eps=192.59
1-52 loss=0.2241 dev_acc=0.8578 test_acc=0.7578 eps=185.88
1-53 loss=0.1868 dev_acc=0.8822 test_acc=0.7822 eps=168.36
1-54 loss=0.1980 dev_acc=0.9200 test_acc=0.7911 eps=171.13
1-55 loss=0.1775 dev_acc=0.9022 test_acc=0.7956 eps=166.27
1-56 loss=0.1775 dev_acc=0.8778 test_acc=0.7600 eps=169.65
1-57 loss=0.1688 dev_acc=0.8467 test_acc=0.7378 eps=167.81
1-58 loss=0.1658 dev_acc=0.9289 test_acc=0.7756 eps=170.12
1-59 loss=0.1551 dev_acc=0.9222 test_acc=0.7956 eps=168.25
1-60 loss=0.1492 dev_acc=0.8867 test_acc=0.7800 eps=167.40
